accession	fastq_ftp	fastq_md5	host_tax_id	instrument_platform	instrument_model	host_sex	library_layout	library_selection	project_name	run_accession	sample_accession	sample_title	sex	scientific_name
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021675/ERR1021675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021675/ERR1021675_2.fastq.gz	7b39f236ca61167da148267785005b1c;f0f291555a13320ee02b1c4d401e5827		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021675	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021676/ERR1021676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021676/ERR1021676_2.fastq.gz	c2f1206a0a7eebf44fbb69353d3dfcee;b5b5009aa1b44c1060ae0a3cebacfb29		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021676	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021677/ERR1021677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021677/ERR1021677_2.fastq.gz	5e8128d9c6c6e950ba28d58bca14935e;85dacd01323e3255883abb9c579c238c		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021677	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021678/ERR1021678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021678/ERR1021678_2.fastq.gz	bf4eb4d57550d82b4f1ef526febc834a;57438d2dfbd032505a420ab68f29dcfb		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021678	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021679/ERR1021679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021679/ERR1021679_2.fastq.gz	814e98689209cafc953b6b82a4b597bb;abb27a02275d329bf5dfa427b15d5da4		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021679	SAMEA3542237	Yakutian horse	male	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021680/ERR1021680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021680/ERR1021680_2.fastq.gz	dbe7541994340f557632dae457a1f706;2699fbadc738c66a60fe2e1661725adf		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021680	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021681/ERR1021681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021681/ERR1021681_2.fastq.gz	225c72b6d9f555fd9b44ff51476dbed5;9d87088640ad9c6d8fea498f71e38a66		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021681	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021682/ERR1021682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021682/ERR1021682_2.fastq.gz	b7c99b9b71421f20f502cb85346882b1;e7bf8087dbf17806aa16ff2e72e58d28		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021682	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021683/ERR1021683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021683/ERR1021683_2.fastq.gz	238a73024a08297f35b6b13eb659f14e;19fe6e1f2a07ffff67f2d86c15abada2		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021683	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021684/ERR1021684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021684/ERR1021684_2.fastq.gz	c7ed574ee2f132bfbd7792f4d3a53a38;39d840e9e378f2d08f62bd3f3fa09f80		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021684	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021685/ERR1021685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021685/ERR1021685_2.fastq.gz	4fadf2406ebacceeba856fb86df8d341;8add724a00611969d1c28eac88f8c676		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021685	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021686/ERR1021686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021686/ERR1021686_2.fastq.gz	6ff0518c65bea8737e109b9a09256e45;a38f7acf0d7aa012721d538ac8073497		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021686	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021687/ERR1021687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021687/ERR1021687_2.fastq.gz	06c7b5e51cad1c87952ec7f26d3f4085;903f69b8a307caf3ec7f38b28fc01bf6		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021687	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021688/ERR1021688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021688/ERR1021688_2.fastq.gz	9e396625324ccce2d8491e36d144cbae;2783d89c7f5ce61a85f6964085f9f5e2		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021688	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021689/ERR1021689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021689/ERR1021689_2.fastq.gz	1b896ff50ea3db62f6b6f87448dfa172;c7a176baa5f16fd844ec507c247b9d12		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021689	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021690/ERR1021690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021690/ERR1021690_2.fastq.gz	42b64d8f066ea1d386c01179f7ff5d15;b9b4b7ed01ff52d95316c1084ee9bc7b		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021690	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021691/ERR1021691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021691/ERR1021691_2.fastq.gz	61d453a1655ea41772c5203968ab5507;310bc3fc3e0fa286b5d3376a9984a7da		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021691	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021692/ERR1021692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021692/ERR1021692_2.fastq.gz	d80a352dbb6b514a06b6e9fc1c8835f4;07070d53dec07f3698d315b154ff3d2f		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021692	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021693/ERR1021693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021693/ERR1021693_2.fastq.gz	105fb5861a48278c3dd412b1d28b2f12;6955d64ef141403d0ac1542454eb9f62		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021693	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021694/ERR1021694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021694/ERR1021694_2.fastq.gz	551735a3c734531f18798521c280d1ff;4537fb91f84c236c871666315d102a2d		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021694	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021695/ERR1021695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021695/ERR1021695_2.fastq.gz	b82a2fe2d9426fafee356a6887b65509;f9415d904cdbd4ff7b60f854972f22e5		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021695	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021696/ERR1021696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021696/ERR1021696_2.fastq.gz	803bd55ac542fad4ad89e418b13da9d3;b0712ddc584420bd8dbcee081a253627		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021696	SAMEA3542238	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021697/ERR1021697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021697/ERR1021697_2.fastq.gz	c95efab1ef9401adf57a7a90cf694ef6;c5c9726321029ae0f8b254533ca616e1		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021697	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021698/ERR1021698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021698/ERR1021698_2.fastq.gz	e86b549cbade61b15b3a3cd0479bf2b3;7a534c2386ed3cf01a7a8bf76474084b		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021698	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021699/ERR1021699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021699/ERR1021699_2.fastq.gz	775ec5ff920c09101d168827cac2fc7a;3479b6d3f050dc24f3ccbf2e1a1e2e9b		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021699	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021700/ERR1021700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021700/ERR1021700_2.fastq.gz	acd3b5129da308b442aa8d20bb8112d3;1a63cf8d0d062a86497aa879037f0d7e		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021700	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021701/ERR1021701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021701/ERR1021701_2.fastq.gz	e7631c1674eaeb01006f5bdc2772b0bd;d9b3e74392537237075979da951b0319		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021701	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021702/ERR1021702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021702/ERR1021702_2.fastq.gz	5c63b3c44c7b887b0194bd6437c96d90;59b7f51d72ebbe36a4ead335d6164762		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021702	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021703/ERR1021703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021703/ERR1021703_2.fastq.gz	6242a7f1713087cf40e22a79e0954f1e;3eec16c97bfae1fab4ed00369fc548cc		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021703	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021704/ERR1021704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021704/ERR1021704_2.fastq.gz	2713b8bbcee3fdf615e0ccdf10bb3d57;20e7611218f2fcd85c0294e29afeb8f3		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021704	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021705/ERR1021705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021705/ERR1021705_2.fastq.gz	ff2d1c78c3d1409ba6f71f70b52ca151;2a0fe64ff3e5bdf1e451a123861069db		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021705	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021706/ERR1021706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021706/ERR1021706_2.fastq.gz	ef496ea456b82fcc5fba7f26718bf974;3ec261169f960085e2e01915402a3b44		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021706	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021707/ERR1021707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021707/ERR1021707_2.fastq.gz	ae7d41ba629a730ab5ffeb82891d400f;58bc80f82a9e130befc24f501c1203ef		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021707	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021708/ERR1021708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021708/ERR1021708_2.fastq.gz	6c326bbb17d4040bb72af6999966d46b;d6dacfc26085b28ab682766f452ba15d		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021708	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021709/ERR1021709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021709/ERR1021709_2.fastq.gz	04671e473953042b5a3803408639165b;65cf690be5019e77d0721ab6dc60bd05		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021709	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021710/ERR1021710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021710/ERR1021710_2.fastq.gz	c3aa55bbd06ede67f4bb649108c13ebe;8cb7e518fe503cc365821922f42330d6		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021710	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021711/ERR1021711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021711/ERR1021711_2.fastq.gz	1fc95fb720a2fcddbe493f9eceaa4bca;949fad0e3cf225198ece133f57bb707f		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021711	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021712/ERR1021712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021712/ERR1021712_2.fastq.gz	e6a8cbd0a2557eca52b497a7c7b8b792;18537093ae7d8fc0e4fff5f1e1db97e6		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021712	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021713/ERR1021713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1021713/ERR1021713_2.fastq.gz	8411d6e11e051bcc0c8da0b1b79a9d30;41a4bf9084607db78074fddc3264343e		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021713	SAMEA3542239	Yakutian horse	female	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021714/ERR1021714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1021714/ERR1021714_2.fastq.gz	42f6ea0a7448a4a0f86cf378c873dd03;be56e1436ef3c9c774a380b513a5b24e		ILLUMINA	Illumina HiSeq 2000		PAIRED	RANDOM		ERR1021714	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021715/ERR1021715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1021715/ERR1021715_2.fastq.gz	890be14371c4bdb3a92d0f15dc05ad1f;14cb0706d514c77299a9d88a67cd9bae		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021715	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021716/ERR1021716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1021716/ERR1021716_2.fastq.gz	0fc390db46e0b689ba8cc7720def35f4;84df91da1bc9dd6c2e41b568c89c7bd4		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021716	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021717/ERR1021717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1021717/ERR1021717_2.fastq.gz	8f7c078dabb30ed07053015f0dc58a7b;2c82952e9138e38d7ee8c0ade6baff63		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021717	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021718/ERR1021718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1021718/ERR1021718_2.fastq.gz	956135c6ed1df6af89e71e21ee4686ca;b2d247e4bf50e6861a6f304a60c64a34		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021718	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021719/ERR1021719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1021719/ERR1021719_2.fastq.gz	b2ef0da12e86ddbfc89e61216266bcdf;7ced1a54fc5d7151f7aed644bd54f1f7		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021719	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021720/ERR1021720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1021720/ERR1021720_2.fastq.gz	404145e9cc280fe5261b908860e91de8;3b42949a57bd7bfdfc9f9cb48fbb9678		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021720	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021721/ERR1021721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1021721/ERR1021721_2.fastq.gz	0b920c6b94fa48e1cb85ee40b336b6c5;3579d57e53211fb98ae6171f0f35e3a4		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021721	SAMEA3542240	Yakutian horse	male	Equus caballus
SAMEA3542240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021722/ERR1021722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1021722/ERR1021722_2.fastq.gz	0de34ec14a174822a6f6fe2b60721370;08803d3d296200472d73248ca920acb2		ILLUMINA	Illumina HiSeq 2500		PAIRED	RANDOM		ERR1021722	SAMEA3542240	Yakutian horse	male	Equus caballus
